goal,bucket,isin,name,category,weight
Retirement,very_aggressive,INF879O01027,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.021231
Retirement,very_aggressive,INF966L01689,quant Small Cap Fund - Direct Plan - Growth,Small Cap,0.300000
Retirement,very_aggressive,INF846K01K35,Axis Small Cap Fund - Direct Plan - Growth,Small Cap,0.150000
Retirement,very_aggressive,INF966L01887,quant Mid Cap Fund - Direct Plan - Growth,Mid Cap,0.174393
Retirement,very_aggressive,INF966L01911,quant Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.146389
Retirement,very_aggressive,INF663L01DV3,PGIM India Midcap Fund - Direct Plan - Growth,Mid Cap,0.027582
Retirement,very_aggressive,INF966L01986,quant ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,0.180406
Edu_B,aggressive,INF879O01027,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.300000
Edu_B,aggressive,INF966L01689,quant Small Cap Fund - Direct Plan - Growth,Small Cap,0.300000
Edu_B,aggressive,INF846K01K35,Axis Small Cap Fund - Direct Plan - Growth,Small Cap,0.136954
Edu_B,aggressive,INF966L01887,quant Mid Cap Fund - Direct Plan - Growth,Mid Cap,0.118423
Edu_B,aggressive,INF966L01911,quant Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.090128
Edu_B,aggressive,INF879O01100,Parag Parikh ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,0.054496
Marriage_HomeLoan,very_aggressive,INF879O01027,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.021231
Marriage_HomeLoan,very_aggressive,INF966L01689,quant Small Cap Fund - Direct Plan - Growth,Small Cap,0.300000
Marriage_HomeLoan,very_aggressive,INF846K01K35,Axis Small Cap Fund - Direct Plan - Growth,Small Cap,0.150000
Marriage_HomeLoan,very_aggressive,INF966L01887,quant Mid Cap Fund - Direct Plan - Growth,Mid Cap,0.174393
Marriage_HomeLoan,very_aggressive,INF966L01911,quant Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.146389
Marriage_HomeLoan,very_aggressive,INF663L01DV3,PGIM India Midcap Fund - Direct Plan - Growth,Mid Cap,0.027582
Marriage_HomeLoan,very_aggressive,INF966L01986,quant ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,0.180406
Stitch_Kutti,very_aggressive,INF879O01027,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.021231
Stitch_Kutti,very_aggressive,INF966L01689,quant Small Cap Fund - Direct Plan - Growth,Small Cap,0.300000
Stitch_Kutti,very_aggressive,INF846K01K35,Axis Small Cap Fund - Direct Plan - Growth,Small Cap,0.150000
Stitch_Kutti,very_aggressive,INF966L01887,quant Mid Cap Fund - Direct Plan - Growth,Mid Cap,0.174393
Stitch_Kutti,very_aggressive,INF966L01911,quant Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.146389
Stitch_Kutti,very_aggressive,INF663L01DV3,PGIM India Midcap Fund - Direct Plan - Growth,Mid Cap,0.027582
Stitch_Kutti,very_aggressive,INF966L01986,quant ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,0.180406
